feature_removed,pipeline,seed,n_common,valid_solution,min_cluster_fraction,ari_after_removal,destabilization
FSH,median-robust-pca80-gmm,3,1286,True,0.416796267496112,0.7472045554904352,0.1263977222547824
FSH,median-robust-pca80-gmm,4,1286,True,0.416796267496112,0.7472045554904352,0.1263977222547824
FSH,median-zscore-none-kmeans,0,1286,True,0.3009331259720062,0.9872650297635055,0.006367485118247251
FSH,median-zscore-none-kmeans,1,1286,True,0.3009331259720062,0.9904393843677263,0.004780307816136864
FSH,median-zscore-none-kmeans,2,1286,True,0.3009331259720062,0.9904393843677263,0.004780307816136864
FSH,median-zscore-none-kmeans,3,1286,True,0.3009331259720062,0.9904393843677263,0.004780307816136864
FSH,median-zscore-none-kmeans,4,1286,True,0.3009331259720062,0.9872598555530503,0.006370072223474854
TESTO_TOTAL,median-zscore-pca80-gmm,0,1286,True,0.2954898911353033,0.8330535466267015,0.08347322668664925
TESTO_TOTAL,median-zscore-pca80-gmm,1,1286,True,0.2954898911353033,0.8330535466267015,0.08347322668664925
TESTO_TOTAL,median-zscore-pca80-gmm,2,1286,True,0.2954898911353033,0.8330535466267015,0.08347322668664925
TESTO_TOTAL,median-zscore-pca80-gmm,3,1286,True,0.2962674961119751,0.835979156063258,0.082010421968371
TESTO_TOTAL,median-zscore-pca80-gmm,4,1286,True,0.2954898911353033,0.8330535466267015,0.08347322668664925
TESTO_TOTAL,median-robust-pca80-gmm,0,1286,True,0.19984447900466562,0.3253103526110346,0.3373448236944827
TESTO_TOTAL,median-robust-pca80-gmm,1,1286,True,0.19984447900466562,0.3253103526110346,0.3373448236944827
TESTO_TOTAL,median-robust-pca80-gmm,2,1286,True,0.19362363919129083,0.31754979477986217,0.3412251026100689
TESTO_TOTAL,median-robust-pca80-gmm,3,1286,True,0.19362363919129083,0.31754979477986217,0.3412251026100689
TESTO_TOTAL,median-robust-pca80-gmm,4,1286,True,0.19984447900466562,0.3253103526110346,0.3373448236944827
TESTO_TOTAL,median-zscore-none-kmeans,0,1286,True,0.3118195956454121,0.888555564585687,0.05572221770715652
TESTO_TOTAL,median-zscore-none-kmeans,1,1286,True,0.3110419906687403,0.8885138016014303,0.05574309919928483
TESTO_TOTAL,median-zscore-none-kmeans,2,1286,True,0.3094867807153966,0.8884702225054704,0.05576488874726482
TESTO_TOTAL,median-zscore-none-kmeans,3,1286,True,0.30870917573872475,0.8914601823965945,0.05426990880170274
TESTO_TOTAL,median-zscore-none-kmeans,4,1286,True,0.30870917573872475,0.8884273709487304,0.05578631452563482
SHBG,median-zscore-pca80-gmm,0,1286,True,0.3514774494556765,0.8576722814509271,0.07116385927453645
SHBG,median-zscore-pca80-gmm,1,1286,True,0.3514774494556765,0.8576722814509271,0.07116385927453645
SHBG,median-zscore-pca80-gmm,2,1286,True,0.3514774494556765,0.8576722814509271,0.07116385927453645
SHBG,median-zscore-pca80-gmm,3,1286,True,0.35069984447900465,0.8547463824534991,0.07262680877325045
SHBG,median-zscore-pca80-gmm,4,1286,True,0.3514774494556765,0.8576722814509271,0.07116385927453645
SHBG,median-robust-pca80-gmm,0,1286,True,0.3973561430793157,0.9629269582353415,0.018536520882329266
SHBG,median-robust-pca80-gmm,1,1286,True,0.3973561430793157,0.9629269582353415,0.018536520882329266
SHBG,median-robust-pca80-gmm,2,1286,True,0.3973561430793157,0.9629269582353415,0.018536520882329266
SHBG,median-robust-pca80-gmm,3,1286,True,0.3973561430793157,0.9629269582353415,0.018536520882329266
SHBG,median-robust-pca80-gmm,4,1286,True,0.3973561430793157,0.9629269582353415,0.018536520882329266
SHBG,median-zscore-none-kmeans,0,1286,True,0.2986003110419907,0.903323124354267,0.04833843782286651
SHBG,median-zscore-none-kmeans,1,1286,True,0.2986003110419907,0.9002633279978971,0.04986833600105145
SHBG,median-zscore-none-kmeans,2,1286,True,0.2986003110419907,0.9002633279978971,0.04986833600105145
SHBG,median-zscore-none-kmeans,3,1286,True,0.2986003110419907,0.9002633279978971,0.04986833600105145
SHBG,median-zscore-none-kmeans,4,1286,True,0.3001555209953344,0.897250079080301,0.05137496045984952
DHEAS,median-zscore-pca80-gmm,0,1286,True,0.3141524105754277,0.7381679768815951,0.13091601155920246
DHEAS,median-zscore-pca80-gmm,1,1286,True,0.31493001555209954,0.7354813767723528,0.1322593116138236
DHEAS,median-zscore-pca80-gmm,2,1286,True,0.3118195956454121,0.73534392527102,0.13232803736449
DHEAS,median-zscore-pca80-gmm,3,1286,True,0.3118195956454121,0.73534392527102,0.13232803736449
DHEAS,median-zscore-pca80-gmm,4,1286,True,0.31493001555209954,0.7354813767723528,0.1322593116138236
DHEAS,median-robust-pca80-gmm,0,1286,True,0.39191290824261277,0.9721241029715131,0.013937948514243459
DHEAS,median-robust-pca80-gmm,1,1286,True,0.39191290824261277,0.9721241029715131,0.013937948514243459
DHEAS,median-robust-pca80-gmm,2,1286,True,0.39191290824261277,0.9721241029715131,0.013937948514243459
DHEAS,median-robust-pca80-gmm,3,1286,True,0.39191290824261277,0.9721241029715131,0.013937948514243459
DHEAS,median-robust-pca80-gmm,4,1286,True,0.39191290824261277,0.9721241029715131,0.013937948514243459
DHEAS,median-zscore-none-kmeans,0,1286,True,0.30404354587869364,0.9558110380342957,0.02209448098285216
DHEAS,median-zscore-none-kmeans,1,1286,True,0.30326594090202175,0.9495576230249363,0.025221188487531854
